Description	ID	nc	nt	sp
 Neurospora crassa OR74A DUF6 domain-containing protein (570 aa)	7897	1	0	0
"PWWP domain protein (predicted)"	7900	0	0	1
"SUMO deconjugating enzyme Ulp1"	7901	0	0	1
"oxalyl-CoA decarboxylase (predicted)"	7902	0	0	1
"vitamin H transporter Vht1"	7904	0	0	1
"UPF0061 family protein"	7905	0	0	1
estExt_fgenesh1_pg.C_60505	7908	1	1	0
estExt_Genewise1Plus.C_60368	7909	1	1	0
estExt_Genemark.C_50507	7910	1	1	0
fgenesh1_pm.4_#_609	7911	0	1	0
 Neurospora crassa OR74A DUF1237 domain-containing protein (569 aa)	7916	1	1	1
 Neurospora crassa OR74A hypothetical protein (569 aa)	7917	1	1	0
 Neurospora crassa OR74A hypothetical protein (569 aa)	7918	1	1	0
 Neurospora crassa OR74A amino-acid permease inda1 (569 aa)	7919	4	4	3
"vacuolar amino acid uptake transporter (predicted)"	7926	0	0	1
"ER protein folding oxidoreductin Ero1b"	7927	0	0	1
"meiotic RNA-binding protein 1"	7928	0	0	1
"amino acid permease (predicted)"	7929	0	0	3
"CPA1 sodium ion/proton antiporter (predicted)"	7931	0	0	1
"transcription factor Rst2"	7932	0	0	1
estExt_fgenesh1_pm.C_810903	7934	1	1	0
estExt_fgenesh1_kg.C_20013	7938	1	1	0
 Neurospora crassa OR74A hypothetical protein (568 aa)	7945	1	1	0
 Neurospora crassa OR74A sphingosine-1-phosphate phosphohydrolase (568 aa)	7947	1	1	0
"transcription factor, Atf-CREB family Atf1"	7949	0	0	1
"poly(A) polymerase Pla1"	7950	0	0	1
"FHA domain protein Tos4 (predicted)"	7951	0	0	1
"serine/threonine protein kinase Ppk14 (predicted)"	7953	0	0	1
estExt_fgenesh1_pm.C_60683	7956	0	1	0
estExt_Genewise1.C_60738	7957	1	1	0
estExt_Genewise1Plus.C_60289	7958	1	1	0
estExt_fgenesh1_pg.C_50783	7959	1	1	0
estExt_Genewise1.C_51554	7960	1	1	0
estExt_fgenesh1_pg.C_30487	7961	4	1	0
estExt_Genewise1.C_22661	7962	0	1	0
estExt_fgenesh1_pg.C_20728	7963	1	1	0
estExt_Genemark.C_20402	7964	1	1	0
 Neurospora crassa OR74A hypothetical protein (567 aa)	7965	1	0	0
 Neurospora crassa OR74A hypothetical protein (567 aa)	7966	1	1	0
 Neurospora crassa OR74A alanine (567 aa)	7970	1	1	1
 Neurospora crassa OR74A hypothetical protein (567 aa)	7973	1	1	0
"transcription factor Scr1"	7979	0	0	1
"RNA-binding protein, involved in splicing (predicted)"	7980	0	0	1
"anaphase-promoting complex subunit Apc8"	7981	0	0	1
estExt_Genewise1.C_811375	7983	1	1	0
estExt_fgenesh1_kg.C_810201	7984	1	1	0
estExt_Genewise1.C_811045	7986	2	1	0
estExt_Genemark.C_30566	7988	1	1	1
estExt_Genewise1Plus.C_22900	7989	1	1	0
 Neurospora crassa OR74A sugar transporter 4 (566 aa)	7993	1	2	0
 Neurospora crassa OR74A MFS quinate transporter (566 aa)	7994	2	2	0
 Neurospora crassa OR74A hypothetical protein (566 aa)	7995	1	1	0
 Neurospora crassa OR74A farnesyltransferase/geranylgeranyltransferase type I alpha subunit (566 aa)	7997	1	1	0
 Neurospora crassa OR74A high affinity glucose transporter (566 aa)	7998	1	0	0
"Set3 complex subunit Hif2"	8004	0	0	1
"ferric-chelate reductase Frp2 (predicted)"	8005	0	0	2
"spliceosomal complex subunit (predicted)"	8007	0	0	1
"iron-sensing transcription factor Fep1"	8008	0	0	1
estExt_Genewise1Plus.C_814884	8009	1	1	0
fgenesh1_pg.81_#_455	8011	0	1	0
estExt_fgenesh1_pm.C_810420	8012	1	1	0
 Neurospora crassa OR74A hypothetical protein (565 aa)	8018	1	1	0
 Neurospora crassa OR74A hypothetical protein (565 aa)	8019	1	1	0
 Neurospora crassa OR74A hypothetical protein (565 aa)	8020	1	1	0
 Neurospora crassa OR74A hypothetical protein (565 aa)	8021	1	1	0
 Neurospora crassa OR74A inositol phosphosphingolipid phospholipase C (565 aa)	8023	1	1	0
"Rad7 homolog Rhp7"	8025	0	0	1
"mitochondrial and cytoplasmic histidine-tRNA ligase Hrs1 (predicted)"	8026	1	1	1
"conserved eukaryotic protein"	8027	0	0	1
"transcription factor (predicted)"	8028	0	0	2
estExt_Genewise1Plus.C_813284	8029	1	1	0
estExt_fgenesh1_pg.C_60835	8030	1	1	0
fgenesh1_pm.4_#_878	8032	0	1	0
 Neurospora crassa OR74A hypothetical protein (564 aa)	8036	1	0	0
 Neurospora crassa OR74A hypothetical protein (564 aa)	8037	1	0	0
 Neurospora crassa OR74A major facilitator family transporter (564 aa)	8038	1	0	0
 Neurospora crassa OR74A hypothetical protein (564 aa)	8040	1	0	0
 Neurospora crassa OR74A transcription initiation factor TFIID subunit 7 (564 aa)	8041	1	1	0
 Neurospora crassa OR74A hypothetical protein (564 aa)	8042	1	1	0
 Neurospora crassa OR74A hypothetical protein (564 aa)	8043	1	1	0
"central kinetochore associated family protein (predicted)"	8044	0	0	1
"LMBR1-like membrane protein"	8045	0	0	1
estExt_Genewise1Plus.C_813586	8046	1	1	0
estExt_Genemark.C_810669	8047	2	2	0
estExt_Genewise1Plus.C_32044	8050	1	1	0
estExt_Genemark.C_30662	8051	1	1	0
estExt_Genemark.C_30560	8052	0	1	0
estExt_Genewise1Plus.C_12379	8054	2	1	1
 Neurospora crassa OR74A ATP-dependent RNA helicase dbp-2 (563 aa)	8056	1	1	1
 Neurospora crassa OR74A serine/threonine protein kinase-42 (563 aa)	8057	1	1	0
 Neurospora crassa OR74A hypothetical protein (563 aa)	8060	1	1	0
"protein disulfide isomerase (predicted)"	8066	0	0	1
"RNA-binding protein Scw1"	8067	0	0	1
"signal recognition particle subunit Srp72 (predicted)"	8068	0	0	1
"meiotic cohesin complex subunit Rec8"	8069	0	0	1
"CwfJ family protein, splicing factor (predicted)"	8070	0	0	1
"oxidoreductase (predicted)"	8071	0	0	1
Genemark.8338_g	8072	1	1	0
estExt_Genemark.C_810041	8074	1	1	0
estExt_Genewise1Plus.C_52035	8076	2	1	0
estExt_Genemark.C_50277	8077	1	1	0
fgenesh1_pm.3_#_3	8078	1	1	0
estExt_fgenesh1_kg.C_20409	8081	1	1	1
estExt_Genemark.C_20926	8082	1	1	0
estExt_Genewise1Plus.C_22017	8083	2	1	0
estExt_Genewise1.C_21905	8084	2	1	0
 Neurospora crassa OR74A hypothetical protein (562 aa)	8085	1	0	0
"RNA polymerase II associated Paf1 complex (predicted)"	8101	0	0	1
"calnexin Cnx1"	8102	0	0	1
"DNA 5' exonuclease (predicted)"	8103	0	0	1
estExt_fgenesh1_pg.C_811786	8104	0	1	0
estExt_fgenesh1_pm.C_811107	8105	1	1	0
fgenesh1_pg.6_#_384	8107	1	1	0
e_gw1.3.1538.1	8109	1	1	0
estExt_fgenesh1_pm.C_30742	8110	1	1	0
e_gw1.3.413.1	8111	0	1	0
fgenesh1_pg.1_#_617	8114	1	1	0
estExt_Genewise1Plus.C_11056	8115	1	1	1
 Neurospora crassa OR74A aromatic aminotransferase Aro8 (561 aa)	8118	2	0	3
 Neurospora crassa OR74A hypothetical protein (561 aa)	8123	1	0	0
 Neurospora crassa OR74A hypothetical protein (561 aa)	8124	1	1	0
"serine/threonine protein kinase, meiotic Mde3"	8128	0	0	1
"uricil/uridine permese transmembrane transporter family (predicted)"	8129	0	0	1
"phosphatidylinositol-3-phosphatase, myotubularin family (predicted)"	8131	0	0	1
"cohesin loading factor Ssl3"	8132	0	0	1
fgenesh1_pg.81_#_1725	8133	1	1	0
estExt_Genewise1Plus.C_811741	8134	1	1	0
estExt_fgenesh1_pm.C_10428	8137	0	1	0
 Neurospora crassa OR74A C6 zinc finger domain-containing protein (560 aa)	8138	1	1	0
 Neurospora crassa OR74A hypothetical protein (560 aa)	8139	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase-1 (560 aa)	8141	1	1	0
"chaperonin-containing T-complex eta subunit Cct7"	8144	1	2	2
"splicing factor Prp17"	8145	1	1	1
"5-aminolevulinate synthase Hem1 (predicted)"	8146	0	0	1
estExt_fgenesh1_pm.C_812283	8148	1	1	0
estExt_Genewise1.C_60975	8150	1	1	1
fgenesh1_pm.5_#_469	8152	1	1	0
fgenesh1_pm.1_#_46	8157	1	1	0
 Neurospora crassa OR74A hypothetical protein  (559 aa)	8159	1	1	0
 Neurospora crassa OR74A tartrate transporter (559 aa)	8160	1	1	0
 Neurospora crassa OR74A endonuclease/Exonuclease/phosphatase (559 aa)	8165	1	1	0
"NuA4 histone acetyltransferase complex Epl1"	8167	0	0	1
"Schizosaccharomyces specific protein"	8170	0	0	1
"transcription factor, zf-GATA type (predicted)"	8171	0	0	1
"hexose transporter Ght1"	8172	1	1	8
"ABC1 kinase family protein, implicted in mitochondrial ergosterol and phospholipd homeostasis"	8173	0	0	1
fgenesh1_pg.81_#_1460	8177	1	1	0
Genemark.7446_g	8178	1	1	0
fgenesh1_pg.5_#_898	8183	3	1	0
estExt_Genemark.C_50798	8184	2	2	0
Genemark.4143_g	8187	1	1	0
fgenesh1_pg.3_#_1021	8188	0	1	0
estExt_fgenesh1_pg.C_20747	8189	1	1	0
estExt_Genemark.C_20064	8190	1	1	0
estExt_Genewise1Plus.C_10045	8191	2	1	0
 Neurospora crassa OR74A hypothetical protein (558 aa)	8193	1	0	0
 Neurospora crassa OR74A hypothetical protein (558 aa)	8197	1	1	0
 Neurospora crassa OR74A transporter SMF1/ESP1 (558 aa)	8198	1	1	0
 Neurospora crassa OR74A coenzyme A transferase (558 aa)	8199	2	1	0
 Neurospora crassa OR74A monooxygenase (558 aa)	8207	1	0	0
 Neurospora crassa OR74A FAD dependent oxidoreductase (558 aa)	8208	1	1	0
 Neurospora crassa OR74A hypothetical protein (558 aa)	8210	1	1	0
 Neurospora crassa OR74A tyrosine decarboxylase (558 aa)	8211	1	1	0
 Neurospora crassa OR74A triacylglycerol lipase (558 aa)	8212	2	1	0
"ubiquitin-protein ligase E3 (predicted)"	8215	0	0	1
"RNA polymerase I upstream activation factor complex subunit Rrn5"	8216	0	0	1
"guanosine-diphosphatase Gda1"	8218	0	0	1
estExt_Genemark.C_811218	8220	1	1	0
estExt_Genemark.C_50929	8221	1	1	0
estExt_fgenesh1_pm.C_40627	8222	1	1	0
estExt_Genewise1.C_41146	8223	1	1	0
estExt_Genemark.C_40064	8224	0	1	0
Genemark.3528_g	8225	1	1	0
estExt_Genewise1.C_12605	8226	1	1	0
estExt_fgenesh1_pm.C_10104	8227	1	1	1
 Neurospora crassa OR74A hypothetical protein (557 aa)	8228	1	1	0
 Neurospora crassa OR74A hypothetical protein (557 aa)	8230	1	1	0
 Neurospora crassa OR74A hypothetical protein (557 aa)	8232	1	0	0
"CGI-48 family (predicted)"	8237	0	0	1
"telomere end-binding protein Pot1"	8238	0	0	1
estExt_fgenesh1_kg.C_20298	8241	1	1	0
estExt_Genewise1.C_21750	8242	1	1	0
estExt_Genemark.C_10373	8243	1	1	0
estExt_Genewise1.C_10702	8244	1	1	0
 Neurospora crassa OR74A hypothetical protein (556 aa)	8245	1	1	0
"phosphoglucomutase (predicted)"	8255	1	1	1
"zf-C3HC4 type zinc finger"	8256	0	0	1
"arylsulfatase (predicted)"	8257	0	0	1
"kinesin-like protein Klp3"	8258	0	0	1
"pig-S (predicted)"	8259	0	0	1
"membrane transporter (predicted)"	8260	0	1	1
e_gw1.81.3720.1	8264	1	1	0
estExt_fgenesh1_pm.C_810511	8266	1	1	0
Genemark.7206_g	8267	1	1	0
estExt_Genemark.C_50251	8270	1	1	0
estExt_fgenesh1_pm.C_40464	8272	1	1	0
estExt_Genewise1Plus.C_40585	8273	1	1	1
estExt_Genewise1Plus.C_32094	8274	1	1	0
estExt_Genemark.C_30607	8275	1	1	0
estExt_fgenesh1_pg.C_30150	8276	1	1	0
estExt_Genewise1Plus.C_30276	8277	1	1	0
e_gw1.2.1699.1	8278	0	1	0
 Neurospora crassa OR74A N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (555 aa)	8280	1	1	0
 Neurospora crassa OR74A hypothetical protein (555 aa)	8283	1	1	0
 Neurospora crassa OR74A hypothetical protein (555 aa)	8285	1	0	0
 Neurospora crassa OR74A hypothetical protein (555 aa)	8286	1	1	0
 Neurospora crassa OR74A PNS1 (555 aa)	8287	1	1	0
 Neurospora crassa OR74A hypothetical protein (555 aa)	8288	1	1	0
 Neurospora crassa OR74A hypothetical protein (555 aa)	8289	1	0	0
 Neurospora crassa OR74A glutathione synthetase large subunit (555 aa)	8291	2	1	1
 Neurospora crassa OR74A hypothetical protein (555 aa)	8293	1	0	0
 Neurospora crassa OR74A hypothetical protein (555 aa)	8295	1	1	0
 Neurospora crassa OR74A hypothetical protein (555 aa)	8296	1	1	0
"Schizosaccharomyces specific protein"	8301	0	0	1
"alpha-glucoside transporter Sut1"	8302	0	0	1
estExt_fgenesh1_pg.C_811742	8303	1	1	0
estExt_fgenesh1_pg.C_60532	8305	1	1	0
fgenesh1_pm.5_#_632	8307	0	1	0
estExt_Genewise1Plus.C_41953	8310	1	1	1
estExt_fgenesh1_pm.C_20277	8314	1	1	0
estExt_Genewise1.C_13103	8315	1	1	0
e_gw1.1.2268.1	8316	1	1	0
estExt_Genewise1Plus.C_10013	8317	1	1	1
 Neurospora crassa OR74A hypothetical protein (554 aa)	8319	1	1	0
 Neurospora crassa OR74A hypothetical protein (554 aa)	8320	1	1	0
 Neurospora crassa OR74A hypothetical protein (554 aa)	8322	1	1	0
 Neurospora crassa OR74A hypothetical protein (554 aa)	8323	1	1	0
 Neurospora crassa OR74A hypothetical protein (554 aa)	8326	1	1	0
 Neurospora crassa OR74A hypothetical protein (554 aa)	8328	1	1	0
 Neurospora crassa OR74A hypothetical protein (554 aa)	8333	1	1	0
"transcription factor Pap1/Caf3"	8337	0	0	1
estExt_fgenesh1_pm.C_811160	8338	1	1	0
estExt_fgenesh1_pm.C_60858	8339	1	1	0
e_gw1.5.1172.1	8340	1	1	1
fgenesh1_pm.5_#_517	8341	1	1	0
estExt_Genewise1.C_42301	8342	1	1	0
estExt_fgenesh1_pg.C_40091	8343	1	1	0
estExt_fgenesh1_pm.C_30642	8344	0	1	0
Genemark.1967_g	8346	1	1	0
 Neurospora crassa OR74A hypothetical protein (553 aa)	8348	2	1	0
 Neurospora crassa OR74A hypothetical protein (553 aa)	8350	1	1	0
 Neurospora crassa OR74A pantothenate kinase (553 aa)	8353	1	1	0
 Neurospora crassa OR74A hypothetical protein (553 aa)	8354	1	1	0
 Neurospora crassa OR74A hypothetical protein (553 aa)	8358	1	0	0
"Ran GTP-binding protein (predicted)"	8359	0	0	1
"adenylyl cyclase-associated protein Cap1"	8360	1	0	1
"phosphomethylpyrimidine kinase (predicted)"	8361	1	1	1
"serine/threonine protein kinase Ppk21"	8362	0	0	1
"SAGA complex subunit Ngg1"	8363	0	0	1
"Hsp70 protein binding protein Mug184"	8365	0	0	1
"Mmi1-driven selective elimination factor Iss10"	8367	0	0	1
estExt_fgenesh1_pm.C_811695	8369	1	1	1
estExt_fgenesh1_pm.C_60854	8373	1	1	0
estExt_Genemark.C_30265	8375	1	1	1
 Neurospora crassa OR74A transcription factor Tos4 (552 aa)	8376	1	0	0
 Neurospora crassa OR74A hypothetical protein (552 aa)	8378	1	1	0
 Neurospora crassa OR74A hypothetical protein (552 aa)	8379	1	1	0
 Neurospora crassa OR74A hypothetical protein (552 aa)	8384	1	1	0
"Golgi membrane exchange factor subunit Sat1 (predicted)"	8387	0	0	1
"human mitofilin ortholog (predicted)"	8389	0	0	1
"tyrosine phosphatase Pyp1"	8391	0	0	1
"amino acid permease, unknown 1 (predicted)"	8392	0	0	2
estExt_fgenesh1_pm.C_810375	8394	1	1	0
fgenesh1_pg.6_#_798	8395	0	1	0
estExt_fgenesh1_pg.C_60523	8396	2	2	2
e_gw1.5.1174.1	8397	1	1	0
fgenesh1_pm.4_#_700	8398	1	1	0
estExt_Genewise1Plus.C_32298	8400	1	1	0
estExt_Genemark.C_30924	8401	1	1	0
estExt_fgenesh1_pg.C_20221	8402	1	1	0
Genemark.1625_g	8403	0	1	0
estExt_Genewise1Plus.C_11609	8404	1	1	0
 Neurospora crassa OR74A hypothetical protein (551 aa)	8405	1	1	0
 Neurospora crassa OR74A cytoplasmic dynein 1 light intermediate chain (551 aa)	8406	1	1	0
 Neurospora crassa OR74A sucrose transporter (551 aa)	8408	1	1	0
"nucleoporin Nup61"	8420	0	0	1
"RITS complex subunit 3"	8421	0	0	1
"retromer complex subunit Vps17"	8422	0	0	1
estExt_Genewise1.C_61747	8424	1	1	0
estExt_fgenesh1_pg.C_50859	8425	1	1	0
estExt_fgenesh1_pm.C_50320	8427	1	1	0
estExt_Genewise1Plus.C_42099	8428	0	1	0
Genemark.2657_g	8430	1	1	0
estExt_Genemark.C_10747	8432	0	1	0
 Neurospora crassa OR74A amino acid transporter (550 aa)	8433	1	1	0
 Neurospora crassa OR74A 60S ribosome biogenesis protein Mak11 (550 aa)	8434	1	1	0
 Neurospora crassa OR74A galactose-1-phosphate uridylyltransferase (550 aa)	8435	1	1	0
 Neurospora crassa OR74A hypothetical protein (550 aa)	8438	1	0	0
 Neurospora crassa OR74A hypothetical protein (550 aa)	8439	1	1	0
"protein phosphatase regulatory subunit Par1"	8440	0	0	1
"DUF1941 family protein, human neurochondrin ortholog"	8441	0	0	1
"tRNA (guanine-N2-)-methyltransferase"	8442	0	0	1
"spindle pole body protein Cut12"	8445	0	0	1
fgenesh1_pm.81_#_1569	8446	0	1	0
estExt_Genewise1Plus.C_812746	8447	1	1	0
estExt_Genewise1.C_811060	8448	1	1	1
estExt_fgenesh1_pm.C_50328	8450	1	1	0
estExt_Genewise1Plus.C_50556	8451	1	1	0
fgenesh1_pm.5_#_129	8452	1	1	0
estExt_Genewise1.C_41611	8453	1	1	0
estExt_Genewise1Plus.C_30973	8455	1	1	0
estExt_Genemark.C_20555	8457	2	2	0
Genemark.1683_g	8459	0	1	0
estExt_Genewise1Plus.C_12956	8460	1	1	0
estExt_fgenesh1_pg.C_10705	8461	1	1	2
estExt_Genewise1.C_11539	8462	1	1	0
 Neurospora crassa OR74A folic acid synthesis protein (549 aa)	8464	1	1	0
 Neurospora crassa OR74A hypothetical protein (549 aa)	8466	2	1	0
 Neurospora crassa OR74A NEDD8-activating enzyme E1 regulatory subunit (549 aa)	8468	2	1	0
 Neurospora crassa OR74A hypothetical protein (549 aa)	8469	1	0	0
 Neurospora crassa OR74A rRNA processing protein Rrp8 (549 aa)	8473	1	1	0
 Neurospora crassa OR74A hypothetical protein (549 aa)	8476	2	1	0
 Neurospora crassa OR74A hypothetical protein (549 aa)	8478	1	1	0
 Neurospora crassa OR74A hypothetical protein (549 aa)	8484	2	1	0
"zf-CCCH type zinc finger protein"	8485	0	0	1
"DinB translesion DNA repair polymerase, pol kappa"	8486	0	0	1
"membrane transporter (predicted)"	8487	2	2	6
"signal recognition particle receptor alpha subunit Srp101 (predicted)"	8489	0	0	1
"transcription factor, zf-fungal binuclear cluster type Gsf1"	8490	0	0	1
"TATA element modulatory factor homolog (predicted)"	8491	0	0	1
"ribosomal lysine methyltransferase Set10"	8492	0	0	1
"Vid24 family protein (predicted)"	8494	0	0	1
"ubiquitin-protein ligase E3 (predicted)"	8495	0	0	1
"succinate-semialdehyde dehydrogenase"	8496	3	0	2
estExt_Genewise1Plus.C_814735	8497	1	1	1
estExt_Genewise1Plus.C_810413	8499	1	1	0
estExt_fgenesh1_kg.C_810043	8500	1	1	2
estExt_fgenesh1_kg.C_50027	8503	1	1	0
estExt_fgenesh1_pm.C_40655	8504	2	1	0
estExt_fgenesh1_pg.C_30904	8505	1	1	1
 Neurospora crassa OR74A cyclin Pch1 (548 aa)	8507	1	0	0
 Neurospora crassa OR74A hypothetical protein (548 aa)	8514	1	0	0
 Neurospora crassa OR74A hypothetical protein (548 aa)	8515	2	1	0
 Neurospora crassa OR74A hypothetical protein (548 aa)	8517	1	1	0
"dolichyl pyrophosphate Man7GlcNAc2 alpha-1,6-mannosyltransferase Alg12 (predicted)"	8521	0	0	1
estExt_Genewise1.C_60285	8526	1	1	0
estExt_Genewise1.C_51581	8527	2	2	0
estExt_fgenesh1_pm.C_50403	8529	1	1	0
estExt_Genewise1Plus.C_50590	8530	1	1	0
Genemark.1725_g	8532	1	1	0
estExt_fgenesh1_pg.C_11008	8535	0	1	0
estExt_Genewise1.C_12058	8536	1	1	0
estExt_Genemark.C_10279	8537	1	1	1
 Neurospora crassa OR74A hypothetical protein (547 aa)	8538	1	1	0
 Neurospora crassa OR74A serine hydroxymethyltransferase (547 aa)	8540	3	2	2
 Neurospora crassa OR74A hypothetical protein (547 aa)	8544	1	0	0
 Neurospora crassa OR74A aldehyde dehydrogenase (547 aa)	8548	4	5	3
"triacylglycerol lipase ptl1"	8549	0	0	2
"Hsk1-Dfp1 kinase complex regulatory subunit Dfp1"	8550	0	0	1
"pig-T, Gpi16 (predicted)"	8551	0	0	1
"mediator complex subunit Srb4"	8552	0	0	1
estExt_Genewise1Plus.C_813012	8554	1	1	0
estExt_Genewise1.C_11536	8559	2	1	0
 Neurospora crassa OR74A hypothetical protein (546 aa)	8560	1	0	0
 Neurospora crassa OR74A hypothetical protein (546 aa)	8561	1	1	0
"CAF assembly factor (CAF-1) complex large subunit Pcf1"	8568	0	0	1
"meiotic dynein intermediate chain Dic1"	8569	0	0	1
"SR protein-specific kinase Dsk1"	8570	0	0	1
estExt_Genewise1Plus.C_814460	8572	1	1	0
estExt_fgenesh1_pm.C_811716	8573	1	1	0
estExt_Genewise1.C_61638	8575	1	1	0
estExt_Genewise1.C_50692	8578	1	1	1
fgenesh1_pg.3_#_488	8579	0	1	0
estExt_Genewise1Plus.C_12628	8580	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase-56 (545 aa)	8581	1	0	0
 Neurospora crassa OR74A hypothetical protein (545 aa)	8583	1	0	0
 Neurospora crassa OR74A hypothetical protein (545 aa)	8584	1	0	0
 Neurospora crassa OR74A hypothetical protein (545 aa)	8585	1	1	0
 Neurospora crassa OR74A mitochondrial metal transporter 2 (545 aa)	8586	1	0	0
 Neurospora crassa OR74A hypothetical protein (545 aa)	8587	1	0	0
 Neurospora crassa OR74A hypothetical protein (545 aa)	8589	1	0	0
"type I ribosomal protein arginine N-methyltransferase Rmt3"	8592	0	0	1
"glycerophosphodiester transporter (predicted)"	8593	0	0	1
"WD repeat protein, human WDR20 family, Bun62"	8594	0	0	1
"C-22 sterol desaturase Erg5"	8596	1	1	1
"nuclear membrane protein involved in karyogamy Tht1"	8597	0	0	1
estExt_Genewise1.C_814242	8598	1	1	0
estExt_Genewise1Plus.C_813399	8600	3	1	0
estExt_Genewise1Plus.C_810545	8601	0	1	0
estExt_Genewise1Plus.C_61637	8602	1	1	0
estExt_fgenesh1_pm.C_50625	8603	1	1	1
estExt_fgenesh1_pm.C_40509	8605	1	1	0
estExt_fgenesh1_pm.C_20022	8607	1	1	0
 Neurospora crassa OR74A cytochrome c mitochondrial import factor (544 aa)	8608	1	1	0
 Neurospora crassa OR74A hypothetical protein (544 aa)	8609	1	1	0
 Neurospora crassa OR74A serine/threonine protein kinase-52 (544 aa)	8614	1	0	0
 Neurospora crassa OR74A hypothetical protein (544 aa)	8615	1	1	0
 Neurospora crassa OR74A hypothetical protein (544 aa)	8616	1	1	0
"RSC complex subunit Rsc4"	8627	0	0	1
"cell wall protein Gas1, 1,3-beta-glucanosyltransferase (predicted)"	8628	1	1	2
"U4/U6 x U5 tri-snRNP complex subunit Prp3"	8629	0	0	1
"mitochondrial ATP synthase complex assembly protein Atp25 (predicted)"	8631	0	0	1
e_gw1.81.372.1	8632	0	1	0
estExt_Genemark.C_812068	8633	0	1	0
fgenesh1_pm.81_#_503	8637	1	1	0
fgenesh1_pg.81_#_166	8638	2	1	0
estExt_fgenesh1_pm.C_10807	8640	1	1	0
 Neurospora crassa OR74A hypothetical protein (543 aa)	8646	1	0	0
 Neurospora crassa OR74A SDS23 (543 aa)	8648	1	1	0
 Neurospora crassa OR74A amine oxidase (543 aa)	8649	3	1	0
 Neurospora crassa OR74A hypothetical protein (543 aa)	8650	2	1	0
 Neurospora crassa OR74A hypothetical protein (543 aa)	8652	1	1	0
 Neurospora crassa OR74A glutamyl-tRNA amidotransferase (543 aa)	8653	1	1	0
estExt_fgenesh1_pm.C_810603	8657	1	1	0
fgenesh1_pm.81_#_73	8658	1	1	0
estExt_Genemark.C_810075	8659	4	4	0
estExt_Genewise1Plus.C_52196	8660	3	3	0
estExt_Genewise1Plus.C_40511	8661	1	1	0
estExt_Genewise1Plus.C_31066	8662	1	1	0
estExt_fgenesh1_pg.C_30440	8663	2	1	0
estExt_fgenesh1_pm.C_21105	8664	1	1	0
estExt_fgenesh1_pm.C_20627	8665	1	1	0
estExt_Genemark.C_20059	8666	1	1	0
Genemark.910_g	8667	1	1	0
estExt_Genewise1.C_11880	8668	1	1	0
 Neurospora crassa OR74A hypothetical protein (542 aa)	8670	1	1	0
 Neurospora crassa OR74A hypothetical protein (542 aa)	8673	1	0	0
 Neurospora crassa OR74A nitrate nonutilizer-10 (542 aa)	8674	1	1	0
 Neurospora crassa OR74A hypothetical protein (542 aa)	8677	1	1	0
 Neurospora crassa OR74A hypothetical protein (542 aa)	8678	1	1	0
"exonuclease Rex3 (predicted)"	8685	0	0	1
estExt_Genewise1Plus.C_814425	8686	1	1	0
Genemark.7267_g	8687	1	1	0
estExt_fgenesh1_kg.C_60114	8688	1	1	0
estExt_Genewise1Plus.C_40023	8692	1	1	0
estExt_fgenesh1_pm.C_30915	8695	1	1	0
estExt_Genewise1.C_11927	8697	2	1	0
estExt_Genewise1Plus.C_11603	8698	1	1	0
estExt_Genewise1Plus.C_11264	8699	1	1	0
 Neurospora crassa OR74A hypothetical protein (541 aa)	8700	1	0	0
 Neurospora crassa OR74A hypothetical protein (541 aa)	8705	1	1	0
 Neurospora crassa OR74A hypothetical protein (541 aa)	8706	1	1	0
 Neurospora crassa OR74A hypothetical protein (541 aa)	8707	1	1	0
 Neurospora crassa OR74A T-complex protein 1 subunit gamma (541 aa)	8712	1	0	1
"transcription factor TFIIF complex alpha subunit Tfg1 (predicted)"	8717	0	0	1
"lisophospholipase family protein"	8718	0	0	1
"MatE family transporter (predicted)"	8719	2	1	1
"Ran GDP/GTP exchange factor"	8721	0	0	1
"transcription factor Prr1"	8725	0	0	1
estExt_Genewise1Plus.C_814132	8726	1	1	0
estExt_fgenesh1_pm.C_50151	8728	1	1	0
estExt_Genewise1Plus.C_22439	8732	1	1	0
fgenesh1_pm.1_#_575	8736	1	1	0
estExt_fgenesh1_pg.C_10298	8737	1	1	0
"iron hydrogenase (predicted)"	8742	0	0	1
"Lsd1/2 complex PHD finger containing protein Phf2"	8744	0	0	1
estExt_fgenesh1_pm.C_811607	8745	0	1	0
estExt_Genemark.C_811483	8746	1	1	1
estExt_Genewise1Plus.C_813351	8747	1	1	0
estExt_Genewise1.C_812312	8749	0	1	0
e_gw1.6.407.1	8750	0	1	0
estExt_Genewise1Plus.C_11644	8752	1	1	0
 Neurospora crassa OR74A hypothetical protein (539 aa)	8755	1	1	0
 Neurospora crassa OR74A acid phosphatase (539 aa)	8759	1	1	0
 Neurospora crassa OR74A hypothetical protein (539 aa)	8760	1	1	0
 Neurospora crassa OR74A hypothetical protein (539 aa)	8761	1	0	0
 Neurospora crassa OR74A G-protein-coupled receptor-5 (539 aa)	8765	1	1	0
"cytochrome c oxidase 1 (predicted)"	8767	0	0	1
"pyridoxal family membrane transporter (predicted)"	8768	0	0	3
"amino acid transporter (predicted)"	8769	1	1	1
"RNA polymerase I core factor complex subunit Rrn7"	8770	0	0	1
